region_id,region,2017,2018,2019,2020,2021,2022
1,Stockholms län,2303417,2339640,2374550,2391841,2411859,2437158
3,Uppsala län,368020,375240,383044,388076,394154,400070
4,Södermanlands län,290997,294042,294042,299329,301382,302473
5,Östergötlands län,457020,460860,465214,467276,469445,471797
6,Jönköpings län,356640,360388,363351,364953,366840,368963
7,Kronobergs län,197283,199397,201290,202247,203243,204257
8,Kalmar län,243290,244514,245415,246033,246989,247791
9,Gotlands län,58492,59126,59636,60050,60972,61167
10,Blekinge län,159352,159698,159748,159227,158999,158876
12,Skåne län,1342180,1360112,1376659,1388910,1400973,1413080
13,Hallands län,324085,328853,333202,336440,339903,342658
14,Västra Götalands län,1687859,1707536,1724529,1734344,1743304,1757225
17,Värmlands län,280122,281305,282342,282906,283169,283951
18,Örebro län,298421,301890,304634,305715,306688,307656
19,Västmanlands län,270684,273495,275634,277228,278721,280584
20,Dalarnas län,285697,287014,287795,287681,288164,288343
21,Gävleborgs län,285387,286399,287333,287631,287873,287431
22,Västernorrlands län,245983,245376,245380,244663,244223,243334
23,Jämtlands län,129712,130046,130697,131064,131914,132484
24,Västerbottens län,268278,269954,271621,273220,274533,276136
25,Norrbottens län,251117,250424,250230,249649,249752,249285
